id,screen_name,name,created_at,statuses_count,followers_count,friends_count,favourites_count,listed_count,verified,default_profile,description,label
602249341,EmmaDingle,Emma Dingle🐧🏳️‍🌈🇪🇺🇬🇧🏴🤓,Thu Jun 07 22:16:27 +0000 2012,6252,790,3218,12898,42,False,False,Strategic Creative Social Media & Community Engagement Manager. Webeditrix. Digital PR. @sresultsltd #Human #GlutenFree #Short Many opinions🐧🏳️‍🌈🇪🇺🇬🇧🏴🤓,1
797617218511060992,Wolv_2018,Wolverine 2018💥,Sun Nov 13 01:48:58 +0000 2016,14885,16039,10960,10835,18,False,False,Injustice and corruption make me really mad. I'm here to fight for #TheResistance #RESIST #Indivisible #Demforce #Ω #HeroesResist (fan account),1
889925474,RobPalmWhistler,Rob Palm Whistler,Thu Oct 18 23:19:38 +0000 2012,7376,7618,7800,3116,118,False,False,Whistler REALTOR® specializing in mountain lifestyle real estate. 'Make Your Best Move'. Whistler Real Estate Company Ltd.,1
96435556,Marianocrt,Mariano,Sat Dec 12 22:53:04 +0000 2009,48933,388,674,1728,6,False,False,O scrivi Italia o scrivi libertà. Due termini distanti come la Costituzione formale e quella materiale!,1
16905397,herrlarbig,Torsten Larbig,Wed Oct 22 13:43:42 +0000 2008,62922,19677,13611,5946,612,False,False,"Education, Flaneur, Digitalisation—Tweets German & English—#EDchatDE Founder—https://t.co/3LdzrjSYSW || Foto: Goethe-Institut/Bernhard Ludewig",1
2717053344,bartvalou,Bipix,Fri Aug 08 13:06:37 +0000 2014,232,27,203,311,0,False,False,"Passionner d'informatique et de jeux vidéo, de montage et de sécurité informatique mais aussi d'airsoft ;')",1
3078493577,DadaistBot,Dadaist Bot,Sun Mar 08 01:03:52 +0000 2015,32104,260,365,8,59,False,True,"Just another bot, more random than most.",1
297051227,Fando_C,Fernando Castelló,Wed May 11 21:05:04 +0000 2011,395,239,613,45,17,False,False,Comunicación Corporativa | Marketing Digital | Crisis Management | Comunicación Estratégica | Content Curator,1
282275320,Todd_Scheve,MR Humble 💫,Thu Apr 14 22:16:41 +0000 2011,63145,23025,24595,13178,577,False,False,I love the night! Astronomy 🔭 and Trance 🎶 music fan. Retired Vet. Just here to chill ❄️. I follow back and take #sunset 🌅 pics. 😎,1
4883333355,edward_spratt,Edward Spratt,Sat Feb 06 23:57:47 +0000 2016,345,50,68,840,4,False,False,"21, BA Journalism student at Goldsmiths",1
1663020151,brenton1218,R. Brenton,Sun Aug 11 16:55:56 +0000 2013,7683,214,390,39646,3,False,True,Retired Attorney.,1
301128467,abadlinan,▧ J M Abad Liñán,Wed May 18 22:56:06 +0000 2011,3835,1731,2623,8554,88,False,False,"Escribir por obligación me permite leer por gusto, y esto también podría decirlo al revés.",1
800518334449975296,cheomit,cheomit,Mon Nov 21 01:56:58 +0000 2016,9760,43,202,3225,0,False,True,,1
329871219,anilmuppidi,Elizabeth Roberts,Tue Jul 05 19:03:31 +0000 2011,11,7,74,64,0,False,True,,1
16082694,Lhorrell,Linda Horrell,Mon Sep 01 14:18:16 +0000 2008,30746,849,996,88415,9,False,False,"Wordsmith, Vocalist, Loyal member of #Resist #NeverAgain “The job of the newspaper is to comfort the afflicted and afflict the comfortable."" 🌊",1
821562262976602114,Teddysmom1,Teddysmom,Wed Jan 18 03:38:02 +0000 2017,34974,717,989,33735,4,False,True,"Atty. seeing Putin & USA totalitarian state everywhere, but rooting for legal solution to Trumposaurus. Blue in red state living w/ man turning purple. #Resist",1
838908851973984256,KitZander66,Kit Zander,Tue Mar 07 00:27:11 +0000 2017,7513,3706,3692,1624,6,False,False,Unraveling the Neocon ideology.  Not Salon approved.  Oozing with toxic masculinity. #MAGA #BLUELIVESMATTER #FREEMARKET #NAVY #VET I am the Danger.,1
336951091,Scarmigliohnoes,Sean,Sun Jul 17 05:46:26 +0000 2011,28,10,9,0,0,False,True,,1
65495011,beatmaster80,beatmaster,Thu Aug 13 23:05:01 +0000 2009,34,97,717,20,4,False,False,"technology hugger, cinematic bookreader, comedic audiophile, respectable nobody. member of the @galacticnetcast with the @elsenerds",1
4462881555,ShitpostBot5000,ShitpostBot 5000,Sat Dec 12 20:34:04 +0000 2015,33851,195806,3,0,645,False,False,"🤖 Bot on a mission to save the meme world with its sentience.‌‌‌‌ ‌‌Facebook & Patreon: 
https://t.co/8mxRM3Yc4Y
https://t.co/zJGckcDnif",1
804681,SethNickerson,Seth Nickerson,Thu Mar 01 23:17:53 +0000 2007,1657,241,118,1,13,False,False,Father. Husband. Online Marketer.,1
723578732917719040,sextsbot,sextsbot,Fri Apr 22 18:26:28 +0000 2016,55592,17804,0,0,226,False,True,a bot that generates theoretical sexts. tweets every hour and also sometimes in bursts. replies to mentions with a random sext. administratrix @aliceavizandum,1
743337278068531202,emilyratliffetc,Emily Ratliff,Thu Jun 16 06:59:52 +0000 2016,3,17,97,6,0,False,True,,1
3352659499,mallory_barnes,Mallory L. Barnes,Wed Aug 26 21:45:41 +0000 2015,438,411,573,920,8,False,True,PhD candidate studying drought impacts on vegetation production and carbon uptake at the University of Arizona.,1
4469821522,WeRaBot,WeRaBot,Sun Dec 13 11:35:53 +0000 2015,12200,1205,4800,7954,19,False,True,Ich bin WeRaBot - ein WElt-RAum-(Twitter)-Bot und informiere über Astronomie & Raumfahrt :-) Programmiert werde ich vom @ClearSkyBlog,1
536537823,SSReilley,S. Reilley,Sun Mar 25 16:37:32 +0000 2012,399,117,831,2484,0,False,True,Houstonian,1
2428920877,CT4444,Clement Townsend,Sat Apr 05 13:31:22 +0000 2014,54791,1509,425,5143,75,False,True,"Retired Strategic Planner looking beyond headlines for balanced opinions & facts. I follow those with similar interests, irrespective of their views",1
3437940707,peterkblignaut,Peter Blignaut,Mon Aug 24 13:27:01 +0000 2015,3662,2626,3309,2950,165,False,False,dad 👨‍👩‍👧‍👧 data geek 📈 rugby union fan 🏉 sap employee📱proud south african🇿🇦all views my own.,1
704710567856963584,Erato_Sangrante,Poeta_En_Cancun,Tue Mar 01 16:51:07 +0000 2016,7,16,29,0,0,False,True,"Poeta autodidacta, costeño, directo, áspero, homosexual.",1
878706205,zmonroe0820,Zac Monroe,Sat Oct 13 21:10:00 +0000 2012,47,43,55,975,1,False,True,IUB '21 || Guy who does stuff,1
4705413594,NoahTECgaming,Noah Wetherington,Sun Jan 03 22:14:02 +0000 2016,363,3,17,4,1,False,True,,1
58583837,anomalyalice,anomaly alice,Mon Jul 20 20:40:07 +0000 2009,31665,444,1034,122495,2,False,False,"sarcastic artist working in media & living in the South 🎨💀🌎 she/her
https://t.co/MjdF7JfMS1 - me
https://t.co/pNs66zwynu - foster kittens",1
936121320642822144,WillieWholeSlew,Red Pill Cures TDS,Thu Nov 30 06:34:49 +0000 2017,43218,4673,5076,62165,16,False,True,"https://t.co/2ZpRfl1Ahf

I will follow back all Patriots. 

#PatriotsUnite #WeThePeople 
#MAGA #KAG #1A #2A #QANON #Qanon8chan #TheGreatAwakening",1
14700874,erikaandersen,Erika Andersen,Thu May 08 14:31:51 +0000 2008,12455,25118,22713,4362,622,False,False,"Business thinker and author, keynote speaker, Proteus founder, wife/mom/grandma/sister/friend, finder of clarity in chaos. #leadership #bebadfirst #culture",1
